filename,text
minuman (1).jpg,INFORMASI NILAI GIZI Saji 250 ml 6 per Kemasan 1 PER SAJIAN 1 45 kkal 9 Energi dari Lemak 0kkal 1 0 0% 6 Jenuh 1 Total  4 0% 014 40 mg_ 396 AKG berdasarkan kebutuhan Kkal. Kebutuhan energi lebih tinggi atau Iebih GULA (ASAM SITRAT AlAMI PENGAWET BUATAN (0e MInyaK Jerur Ya Takaran Sajian JUMLAH Energi Total %AKG Lemak Total Lemak 0%6 Protein Karbohidrat Gula Garam (Natriur) Persen energi anda 2150 mungkin rendan IL Komposisi: (an MIR Pemgatur BerkaRBoNASI KeasamaN TRINATRIUM shtran (NATRIUM PERISA Nenzoat) (ASESULFAM PEMANIS uaaL Dan NipIS emon Osai i
minuman (10).jpg,"INFORMASI NILAI GIZI JUMLAH PER KEMASAN (76ml) Energi Total Skkal % AKG""* Lemak Total 09 0 Lemak Jenuh 09 0 Protein 19 1 1 Karbohidrat Total 19 0 Gula 19 2 Garam (Natrium} 35 mg 29 AKG berdasarkan kebutuhan energi 21so tinca Kebutuhan energi anda mungkn tinggi atau lebih rendah Komcosisi ; :Ai; (Mengandung Pengawer Sult) Bubuk Jdli (0.42391,  (Asam Sitrat Naoium Peisa (Pensik), Pengawet Kalum Sout 1 boneaaanananh Sukralosa) Eksuak l (im Mengandung Pemanis Buatan;  dienb Sulphites) _ Powder (0_ (Containing Kid; Sodium kuily Ge a Synuietc Flavor ""Persen 2150 Gula Pengatur Keasaman Suat); Sintedk Fus Pewamna 1c035 Allura ! Inguec Pexefialia Water, Sugar ((ur Jelly Regulatet [ 4235). Fvtasu (luate) , (Feadbh"
minuman (100).jpg,"INFORMASI NALAI Giz1 Takaran Saji 1 Sajian per Kemasan JUMLAH PER SAUIAN Nutn Energi Total sokkal SAKG"" Lemak Total 090 Irotaintienuh 8 { 096 Mera 0 096 Karbohldrat Total 13 9 490 Sweet Total 129 (Natrlum) 10mg 190 dan Mineral Vtamln A I590 Vitamln € I00w Tahukah Kamuf B1 I590 Vitamln 85 I5w0 Amarika ana B6 ISt0 (040a4e 0 Jonu FZ mcnua diadnd a ISq0 olan dal Ereg Fosler Tqu Colombei Naalar ""5oENg Eedasatankabutuhan _ Inu Ghaa Amarina Jaldm Ieolla _ 72aZI ananga Sd04 Oc rdon K; pengalu naltodcasuima VITAMIN( dane aau) Gungandeng penstalu nabal  mnetai dalam !Sachet Jo PGIA Aane nne 149 Gula Geram Vitamin Vitamin FC Vitamin Vitamln Vitzinln Kalslum Paujalalen K4 Adu unos) Komposisi: Gule Aca an eintetik doksidan tohelerol Vea-n fosta Aeta"
minuman (1000).jpg,"INFORMASI NILAIGiZI (NUTRION FACTS) Takaran Saji/ Serving Size 180 ml ISallen per kemasan / IServing Amount JUMLAHPER SAJIANAHOUNT PeR ServinG Enerel Total/ Celorfes 1okka EnergidarLemak/Calories from fat zswal AyGt/ %Dv"" Lemak Total/ Totci Fot S Kolesterol/ Cholesterol Smg 2% Lemak Trans/ Trans Fat 09 Lemak Tidak Jenuh Tunggal/ Ig Mono Unsaturated Fat Lemak Tidak Jenuh Ganda/ Poly Unsaturated Fat Lemak Jenuh/ Saturared Fot 259 15% Protein 6X Karbohidrat Total/ 5% Total Crbohrdrate Serat Pangan/ Dietary Fiber 1g 286 Gula/ Sugar Sukrosa/ Sucrose 109 Laktosa/ Lactose 69 Garam (Natrum)l 8omg 58 Soit (Sodium Vitamin dan Mineral/ Vitamins and Mineral Vitamin A 152 Vitamln D 3530 Vitamin € Vitamln k Vitamln B1 Vitamin 82 1 Vitamln 05 Vitamin 86 Vitamin 09 2 Vitamin 612 Blotin Kolin Kellui Fotasslum Kaslum/ Cakclum 1 Fostor Proconog 359 09 '49 179 169"
minuman (1001).jpg,"KUMPUSSi Aie padatan SWSU sapi 30%0, Sukrosa; minyak nabati;, Dengemulsi nabati (mengandung lesdin kedelai} 2 mineral, perisa alami premiks vitamin dan vitamin G, sintetik (mengandung antioksidan asam askorbat); Mengandung Iihat daftar bahan yang dicetak tebal. INFORMASI NILAI Gizi Takaran 180 ml (1 kotak) Sajian per kemasan: JUMLAH PEr SAJIAN Energi Total 130 kkal Energi dari Lemak 45 kkal %AKG' Lemak Total 5 9 7% Kolesterol 10 mg 3% Lemak Jenuh 2,5 11% Protein 28 5% Karbohidrat Total 1 0% Gula Total 16 Sukrosa 10 Laktosa 59 Garam (Natrium) 126 m9 8% Vitamin dan Mineral Vitamin A 15% Vitamin D 20% Vitamin B1 (Tiamin) 30% Vitamin B2 (Riboflavin) 2096 Vitamin B3 (Niasin) 20 % Vitamin B6 (Piridoksin) 20% Vitamin € % Biotin 45 % Kalsium 15% ""Persen AKG berdasarkan kebutuhan energi 2 150 kkal; Kebutuhan energi Anda mungkin lebih tinggi perisa alergen, Saji:"
minuman (1002).jpg,"KUMPUSISi Aic padatan SuEU sapi 30% , Sukrosa, minyak nabati, Dengemulsi nabati (mengandung lesdin kedelai} 2 mineral, perisa alami premiks vitamin dan vitamin G, sintetik (mengandung antioksidan asam askorbat): Mengandung Iihat daftar bahan yang dicetak tebal. INFORMASI NILAI Gizi Takaran 180 ml (1kotak) Sajian per kemasan: JUMLAH PEr SAJIAN Energi Total 130 kkal Energi dari Lemak 45 kkal %AKG' Lemak Total 5 9 7% Kolesterol 10 mg 3% Lemak Jenuh 2,5 11% Protein 28 5% Karbohidrat Total 1 0% Gula Total 16 Sukrosa 10 Laktosa 59 Garam (Natrium) 125 m9 8% Vitamin dan Mineral Vitamin A 15% Vitamin D 20% Vitamin B1 (Tiamin) 30% Vitamin B2 (Riboflavin) 2096 Vitamin B3 (Niasin) 20 % Vitamin B6 (Piridoksin) 20% Vitamin € % Biotin 45 % Kalsium 15% ""Persen AKG berdasarkan kebutuhan energi 2 150 kkal; Kebutuhan energi Anda mungkin lebih tinggi perisa alergen, Saji:"
minuman (1003).jpg,"huurusoi Kic padatan SHSU Sapi 30% , Sukrosa, minyak nabati, Dengemulsi nabati (mengandung lesdtin kedeiai} 2 mineral perisa alami premiks vitamin dan vitamin G, sintetik (mengandung antioksidan asam askorbat); Mengandung Iihat daftar bahan yang dicetak tebal, INFORMASI NILAI GizI Takaran 180 ml (1 kotak) Sajian per kemasan: 1 JUMLAH PER SAJIAN Energi Total 130 kkal Energi dari Lemak 45 kkal YAKG' Lemak Total 7% Kolesterol 10 mg 39 Lemak Jenuh 2,5 11% Protein 3 i 5% Karbohidrat Total 20 0% Gula Total 16 9 Sukrosa 10 g Laktosa Garam (Natrium) 125 m9 8% Vitamin dan Mineral Vitamin A 15% Vitamin D 20 % Vitamin B1 (Tiamin) 30% Vitamin B2 (Riboflavin) 2096 Vitamin B3 (Niasin) 20 % Vitamin B6 (Piridoksin) 20%6 Vitamin € Biotin 45 % Kalsium 15 % ""Persen AKG berdasarkan kebutuhan energi 2 150 kkal. Kebutuhan energi Anda mungkin lebih tinggi perisa alergen, Saji: 5 9 5 9"
minuman (1004).jpg,"uurusoi Kic padatan SHEU Sapi 30% , Sukrosa, minyak nabati, Dengemulsi nabati (mengandung lesdtin kedeiai} 2 mineral perisa alami premiks vitamin dan vitamin G, sintetik (mengandung antioksidan asam askorbat); Mengandung Iihat daftar bahan yang dicetak tebal: INFORMASI NILAI Gizi Takaran 180 ml (1 kotak) Sajian per kemasan: 1 JUMLAH PER SAJIAN Energi Total 130 kkal Energi dari Lemak 45 kkal YAKG"" Lemak Total 7% Kolesterol 10 mg 39 Lemak Jenuh 2,5 11% Protein 3 i 5% Karbohidrat Total 20 0% Gula Total 16 9 Sukrosa 10 g Laktosa 59 Garam (Natrium) 125 m9 8% Vitamin dan Mineral VitaminA 15% Vitamin D 20 % Vitamin B1 (Tiamin) 30% Vitamin B2 (Riboflavin) 2096 Vitamin B3 (Niasin) 20% Vitamin B6 (Piridoksin) 20% Vitamin € Biotin 45 % Kalsium 15%6 ""Persen AKG berdasarkan kebutuhan energi 2 150 kkal. Kebutuhan energi Anda mungkin lebih tinggi perisa alergen, Saji: 5 9"
minuman (1005).jpg,"Edkndedd Air padatan susu sapi 30%,sukrosa, minyak nabati, kakao bubuk 0.65 pengemulsi nabati (mengandung lesitin kedelai , 2 mineral , premiks vitamin dan vitamin € , perisa alami dan perisa sintetlk: Mengandung alergen , lihat daftar bahan yang dicetak tebal: INFORMASI NILAI Gizi Takaran Saji: 180 ml (1 kotak) Sajian per kemasan: JUMLAH PER SAJIAN Energi Total 130 kkal Energi dari Lemak 45 kkal %AKG' Lemak Total 7% Kolesterol 10 mg 39 Lemak Jenuh 2,5 9 11% Protein 3 5% Karbohidrat Total 20 1 6% Gula Total 16 Sukrosa 10 Laktosa 5 9 Garam (Natrium) 126 M9 8% Vitamin dan Mineral Vitamin A 15% Vitamin D 20% Vitamin B1 (Tiamin) 90% Vitamin B2 (Riboflavin) 20% Vitamin B3 (Niasin) 2096 Vitamin B6 (Piridoksin) 2090 Vitamin € % Biotin 4590 Kalsium 15 % ""Persen AKG berdasarkan kebutuhan energi 2150 kkal, Kebutuhan erergi Anda mungkin lebih tinggi atau lebih rendah; s%/e, 6 0"
minuman (1006).jpg,"Eenudnna Air padatan susu sapi 30%,sukrosa, minyak nabati, kakao bubuk 0,65%, pengemulsi nabati (mengandung lesitin kedelai}, 2 mineral , premiks vitamin dan vitamin €, perisa alami dan perisa sintetlk: Mengandung alergen , Iihat daftar bahan yang dicetak tebal. INFORMASI NILAI Gizi Takaran Saji: 180 ml (1 kotak) Sajian per kemasan: JUMLAH PER SAJIAN Energi Total 130 kkal Energi dari Lemak 45 kkal %AKG' Lemak Total 5 0 7% Kolesterol 10 mg 3% Lemak Jenuh 2,5 9 11% Protein 3 5% Karbohidrat Total 20 6% Gula Total 16 1 Sukrosa Laktosa 5 Garam (Natrium) 126 m9 8% Vitamin dan Mineral Vitamin A 15% Vitamin D 20% Vitamin B1 (Tiamin) 90% Vitamin B2 (Riboflavin) 20% Vitamin B3 (Niasin) 2096 Vitamin B6 (Piridoksin) 2090 Vitamin € 0 % Biotin 4596 Kalsium 15%0 ""Persen AKG berdasarkan kebutuhan energi 2150 kkal, Kebutuhan erergh Anda mungkin lebih tinggi atau lebili rendah;"
